configuration id, instance id, performance
7,84, 300.086
7,85, 300.087
7,86, 300.06
7,87, 300.062
7,88, 300.059
7,89, 300.053
7,90, 141.153
7,91, 300.079
7,92, 300.07
7,93, 300.086
7,94, 300.089
7,95, 300.012
7,96, 300.089
7,97, 300.088
7,98, 300.086
7,99, 300.057
8,0, 46.8971
8,1, 300.132
8,2, 36.5256
8,3, 299.381
8,4, 0.9779
8,5, 146.537
8,6, 23.462
8,7, 300.173
8,8, 300.059
8,9, 300.101
8,10, 300.084
8,11, 300.313
8,12, 151.91
8,13, 7.1921
8,14, 300.077
8,15, 300.203
8,16, 300.093
8,17, 31.6671
8,18, 290.211
8,19, 45.8557
8,20, 300.291
8,21, 300.234
8,22, 300.15
8,23, 233.511
8,24, 2.6755
8,25, 1.3366
8,26, 4.3
8,27, 96.6357
8,28, 300.051
8,29, 128.575
8,30, 232.453
8,31, 184.185
8,32, 249.386
8,33, 300.063
8,34, 300.075
8,35, 300.169
8,36, 300.312
8,37, 1.859
8,38, 1.8887
8,39, 1.1478
8,40, 300.198
8,41, 16.3114
8,42, 141.726
8,43, 26.075
8,44, 57.9122
8,45, 17.0877
8,46, 33.0524
8,47, 300.101
8,48, 300.195
8,49, 260.602
8,50, 300.156
8,51, 3.4557
8,52, 99.932
8,53, 43.7373
8,54, 300.182
8,55, 300.047
8,56, 92.4958
8,57, 300.043
8,58, 300.052
8,59, 300.068
8,60, 300.068
8,61, 300.328
8,62, 300.056
8,63, 300.129
8,64, 2.5958
8,65, 82.7289
8,66, 300.234
8,67, 300.085
8,68, 300.067
8,69, 11.6035
8,70, 299.395
8,71, 300.056
8,72, 4.7756
8,73, 34.976
8,74, 43.0706
8,75, 300.071
8,76, 54.597
8,77, 1.6413
8,78, 255.914
8,79, 22.9141
8,80, 300.123
8,81, 300.151
8,82, 250.039
8,83, 300.268
8,84, 300.102
8,85, 13.3808
8,86, 300.075
8,87, 300.062
8,88, 300.073
8,89, 1.1743
8,90, 0.3418
8,91, 300.083
8,92, 300.1
8,93, 300.103
8,94, 300.165
8,95, 83.0013
8,96, 72.6888
8,97, 222.504
8,98, 300.089
8,99, 5.558
9,0, 15.8329
9,1, 300.128
9,2, 16.8386
9,3, 6.3259
9,4, 1.1623
9,5, 76.5645
9,6, 139.658
9,7, 300.057
9,8, 300.169
9,9, 300.17
9,10, 300.675
9,11, 6.3884
9,12, 60.9931
9,13, 5.6587
9,14, 300.578
9,15, 35.2447
9,16, 300.028
9,17, 241.599
9,18, 300.114
9,19, 15.5561
9,20, 300.024
9,21, 300.029
9,22, 300.017
9,23, 300.011
9,24, 6.3509
9,25, 1.8724
9,26, 149.427
9,27, 5.0444
9,28, 14.8139
9,29, 29.0251
9,30, 300.036
9,31, 24.7083
9,32, 300.022
9,33, 67.7849
9,34, 300.075
9,35, 300.084
9,36, 300.21
9,37, 2.3775
9,38, 2.1199
9,39, 2.4892
9,40, 11.8502
9,41, 29.7192
9,42, 300.568
9,43, 31.6947
9,44, 80.9989
9,45, 11.1732
9,46, 42.5133
9,47, 212.471
9,48, 156.332
9,49, 27.7806
9,50, 300.075
9,51, 3.7485
9,52, 35.7584
9,53, 15.1498
9,54, 300.047
9,55, 68.7937
9,56, 300.473
9,57, 300.153
9,58, 28.2166
9,59, 300.028
9,60, 300.037
9,61, 110.602
9,62, 300.021
9,63, 192.895
9,64, 3.17
9,65, 4.6401
9,66, 30.7387
9,67, 136.002
9,68, 129.523
9,69, 11.3901
9,70, 300.02
9,71, 38.9866
9,72, 5.586
9,73, 32.4364
9,74, 72.2174
9,75, 12.5004
9,76, 8.4782
9,77, 2.314
9,78, 300.151
9,79, 15.8281
9,80, 300.062
9,81, 10.3178
9,82, 214.496
9,83, 300.025
9,84, 6.7436
9,85, 45.8224
9,86, 188.108
9,87, 300.038
9,88, 42.0602
9,89, 0.6182
9,90, 0.2098
9,91, 300.227
9,92, 147.565
9,93, 300.101
9,94, 37.2032
9,95, 25.7728
9,96, 300.031
9,97, 300.047
9,98, 300.107
9,99, 19.0453
10,0, 19.4549
10,1, 44.4137
10,2, 12.6558
10,3, 5.9238
10,4, 1.77
10,5, 21.0589
10,6, 14.7503
10,7, 28.8556
10,8, 67.5308
10,9, 260.506
10,10, 300.149
10,11, 10.3462
10,12, 27.4599
10,13, 4.657
10,14, 124.644
10,15, 20.2112
10,16, 148.803
10,17, 20.1245
10,18, 280.431
10,19, 28.4636
10,20, 92.0278
10,21, 68.1464
10,22, 29.3764
10,23, 21.4613
10,24, 4.1454
10,25, 2.1993
10,26, 4.0755
10,27, 7.2574
10,28, 8.2488
10,29, 38.4962
10,30, 124.568
10,31, 23.475
10,32, 74.8159
10,33, 24.6034
10,34, 62.8071
10,35, 58.7568
10,36, 6.1863
10,37, 4.2345
10,38, 3.965
10,39, 2.9008
10,40, 4.4646
10,41, 10.2892
10,42, 51.1588
10,43, 11.5306
10,44, 14.7644
10,45, 8.7706
10,46, 13.3399
10,47, 46.3949
10,48, 52.8821
10,49, 12.0994
10,50, 33.4472
10,51, 4.8478
10,52, 10.7067
10,53, 15.9428
10,54, 300.014
10,55, 20.8232
10,56, 43.685
10,57, 67.4707
10,58, 9.7524
10,59, 38.6283
