,seed,incumbent,challenger,selected_instances,additional_time,selection
704,7,65,98,10,1.7982,discrimination-1.8900000000000001
705,7,65,1,10,2.5528,discrimination-2.0
706,7,65,17,10,3.0485,discrimination-2.0
707,7,65,18,10,2.8763,discrimination-2.0
708,7,65,22,10,1.5856,discrimination-2.0
709,7,65,24,10,2.5904,discrimination-2.0
710,7,65,31,10,1.6408000000000003,discrimination-2.0
711,7,65,36,10,3.2209000000000003,discrimination-2.0
712,7,65,47,10,3.1466,discrimination-2.0
713,7,65,49,10,3.4375000000000004,discrimination-2.0
714,7,65,61,7,1.465,discrimination-2.0
715,7,65,73,1,0.3934,discrimination-2.0
716,7,65,77,10,0.8713000000000001,discrimination-2.0
717,7,65,80,10,1.5352000000000001,discrimination-2.0
718,7,65,82,10,1.3881,discrimination-2.0
719,7,65,88,10,1.7365,discrimination-2.0
720,7,65,95,10,3.6407000000000003,discrimination-2.0
721,7,65,98,10,2.0588,discrimination-2.0
722,3,20,5,10,3.1185,discrimination-1.78
723,3,20,7,10,0.9425000000000001,discrimination-1.78
724,3,20,16,10,2.7484,discrimination-1.78
725,3,20,17,10,1.4985000000000002,discrimination-1.78
726,3,20,18,10,1.3393,discrimination-1.78
727,3,20,21,10,1.9596999999999998,discrimination-1.78
728,3,20,24,10,1.018,discrimination-1.78
729,3,20,34,10,2.4741999999999997,discrimination-1.78
730,3,20,35,10,4.9566,discrimination-1.78
731,3,20,41,10,4.569100000000001,discrimination-1.78
732,3,20,43,10,2.8588,discrimination-1.78
733,3,20,45,10,1.8051,discrimination-1.78
734,3,20,62,10,3.9955,discrimination-1.78
735,3,20,63,10,1.5534000000000001,discrimination-1.78
736,3,20,65,10,3.3991,discrimination-1.78
737,3,20,80,10,1.332,discrimination-1.78
738,3,20,82,10,3.2329999999999997,discrimination-1.78
739,3,20,86,10,4.4119,discrimination-1.78
740,3,20,88,10,5.0097000000000005,discrimination-1.78
741,3,20,99,10,1.8517000000000001,discrimination-1.78
742,3,20,5,10,3.1185,discrimination-1.8900000000000001
743,3,20,7,10,0.7413,discrimination-1.8900000000000001
744,3,20,16,10,1.9696000000000002,discrimination-1.8900000000000001
745,3,20,17,10,2.5090000000000003,discrimination-1.8900000000000001
746,3,20,18,10,2.1222,discrimination-1.8900000000000001
